track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,explicit_track
Parallel Lines 2025,Standalone,R. Silva,8/24/2023,DECE72302560,2847,26.2,91200208.0,31859.0,7752540.0,69.0,9615800.0,108288.0,1020.0,502312.0,4482394.0,0
Hyperion Rise 2025,Universe Zero,V. Popov,1/4/2019,GB2LD1800949,418,75.2,737097685.0,155765.0,20317539.0,68.0,1098942075.0,19179674.0,6010728.0,735932695.0,8841517566.0,0
White Noise 2025,New Dawn,C. Wright,7/15/2022,US5TA2200033,4128,20.9,95952617.0,10516.0,3921848.0,56.0,259567120.0,4792675.0,94849.0,110711487.0,745339618.0,0
Quantum Rain 2025,Chronicles Saga,L. Nakamura,9/29/2023,ITQ002301128,4204,20.6,67967157.0,3843.0,8133274.0,62.0,64206693.0,380795.0,,,,0
Winter Echo 2025,Origin Arc,A. Volkov,1/10/2024,USSM12309167,3407,23.5,47098347.0,15845.0,17899427.0,,1767046.0,28517.0,,,,1
Blue Static 2025,Dark Matter,B. Carter,5/11/2018,USUM71804471,2835,26.3,580941059.0,55176.0,15983158.0,64.0,965441155.0,3017656.0,14706.0,1960151.0,19928111.0,0
Ember Valley 2025,Universe Zero,M. Chen,10/17/2023,ES64E2323174,2410,29.0,1271094976.0,1.0,5.0,,,,,,,0
Neon Horizon 2025,Origin Arc,G. Murphy,8/11/2023,QZPLS2305267,312,86.5,214598468.0,66613.0,6363839.0,74.0,145094088.0,2568642.0,8397.0,1367633.0,35469076.0,1
Digital Saints 2025,Dark Matter,H. Andersson,4/12/2018,GBUM71800366,811,53.9,1790579305.0,180069.0,75602805.0,76.0,792369989.0,7627895.0,226361.0,15100678.0,81167209.0,0
Northern Code 2025,Standalone,D. Rossi,9/14/2023,USRV82300987,2913,25.8,1256101755.0,,,,,,,,,1
Deep Current 2025,Chronicles Saga,S. Patel,10/20/2022,DEA622201528,3822,21.8,131713257.0,43947.0,6669237.0,58.0,33686131.0,355898.0,33909.0,7289705.0,94823161.0,1
Nova Protocol 2025,Standalone,R. Silva,1/1/2009,USUM70918596,1624,36.4,1229109018.0,166904.0,87537106.0,77.0,2049116263.0,11229749.0,232899.0,87766017.0,687368332.0,1
Parallel Lines 2025,Legacy Cycle,V. Popov,3/8/2019,USUG11903492,1538,37.5,925747848.0,178435.0,28731824.0,67.0,533593108.0,4430967.0,20826.0,4543786.0,28961155.0,1
Frozen Ledger 2025,Standalone,J. Martinez,11/2/2018,USUG11802481,3894,21.6,630863087.0,164540.0,26346726.0,71.0,93297998.0,924489.0,2782.0,830969.0,9867664.0,1
Silver Transit 2025,New Dawn,O. Dubois,5/12/2023,TCJPV2340443,3707,22.2,1617307191.0,,,,,,,,,1
Velvet Storm 2025,Legacy Cycle,C. Wright,12/24/2022,JPWP02202338,2769,26.7,118164.0,91.0,607.0,10.0,341971709.0,1203797.0,4.0,2599.0,20739.0,1
Violet Engine 2025,Dark Matter,L. Nakamura,10/6/2023,QMDA72364151,4064,21.1,58048453.0,6562.0,1953126.0,,67978137.0,688436.0,86755.0,5327214.0,51771253.0,0
Frozen Ledger 2025,New Dawn,F. Nguyen,4/7/2023,USSM12302165,1275,41.9,269669185.0,44019.0,21429823.0,67.0,29035288.0,608532.0,581320.0,71546908.0,531883271.0,0
City of Glass 2025,New Dawn,Y. Tanaka,1/19/2018,TCADL1840559,3767,22.0,633467655.0,74321.0,32015799.0,63.0,26434293.0,260550.0,1414817.0,162027612.0,1120361528.0,0
Shadow Circuit 2025,Standalone,S. Patel,2/15/2024,GBAHT2301078,106,148.9,251153869.0,16811.0,92985554.0,76.0,66691067.0,961957.0,102884.0,34572688.0,431390500.0,0
Broken Compass 2025,Legacy Cycle,P. Singh,9/24/2015,ES5701500670,4501,19.6,395303355.0,39270.0,14763690.0,65.0,1089620434.0,2743125.0,21780.0,3185623.0,32115493.0,0
Northern Code 2025,Standalone,G. Murphy,12/6/2019,USSM11912588,442,73.2,1670164200.0,171120.0,93127826.0,78.0,721445001.0,8290855.0,381926.0,125662413.0,805399161.0,0
Glass Reactor 2025,Open Sky,R. Silva,7/6/2017,USSM11705546,1267,42.0,1150653471.0,195032.0,31101180.0,70.0,822892668.0,6651112.0,909432.0,91295431.0,812215684.0,1
Ghost Frequency 2025,Legacy Cycle,J. Martinez,12/10/2021,USUM72123054,3939,21.5,255973824.0,28166.0,14221715.0,71.0,230466044.0,1013942.0,122297.0,27668937.0,333978136.0,0
Infinite Margin 2025,Universe Zero,W. Stone,6/22/2023,QZ9QQ2300457,668,58.9,502536183.0,37578.0,22883474.0,77.0,151406654.0,886902.0,380400.0,77609922.0,866457165.0,1
Burning Atlas 2025,Final Chapter,V. Popov,4/25/2024,FR8EU2300010,3359,23.7,18919068.0,4186.0,20278718.0,74.0,1025503.0,18910.0,,,,0
Violet Engine 2025,Universe Zero,F. Nguyen,5/18/2024,USA2P2428771,3174,24.5,11107400.0,614.0,35459248.0,,10855044.0,227373.0,,,,0
Iron Garden 2025,Universe Zero,K. Olsen,8/12/2022,USUM72215262,468,71.2,549382975.0,88241.0,44497733.0,64.0,128432797.0,2507944.0,777200.0,583041946.0,5107877505.0,1
Obsidian Heart 2025,Dark Matter,Q. Jensen,7/8/2021,ARGT32100004,2935,25.7,472107491.0,65462.0,8388402.0,63.0,221630313.0,1721936.0,121905.0,37557078.0,295962547.0,0
Desert Oracle 2025,New Dawn,E. Brooks,5/23/2024,QM6N22481184,4437,19.8,4453194.0,287.0,4319515.0,64.0,9104356.0,198623.0,,,,1
Iron Garden 2025,Prime Story,C. Wright,7/29/2022,QZAPK2000269,3938,21.5,162889846.0,45505.0,2568098.0,69.0,82186979.0,804789.0,16659.0,8712382.0,49371617.0,1
Winter Echo 2025,Open Sky,Y. Tanaka,2/5/2021,USUG12106692,2485,28.6,669099980.0,87216.0,26997782.0,76.0,213028772.0,2081644.0,771.0,6034599.0,101980300.0,0
Ocean of Stars 2025,Standalone,K. Olsen,5/10/2019,QM9WM1900108,2483,28.6,28185177.0,6572.0,781594.0,42.0,1163245760.0,5110945.0,37518.0,2306029.0,20930088.0,0
Silent Protocol 2025,Standalone,R. Silva,10/5/2023,QZ9QQ2300724,685,58.3,363816146.0,16161.0,16393454.0,80.0,189158687.0,768324.0,64160.0,13838072.0,114779266.0,1
Ghost Frequency 2025,Prime Story,L. Nakamura,6/9/2023,QZQAY2395569,1510,37.8,96289114.0,24566.0,8733511.0,67.0,33861736.0,296191.0,522400.0,159504238.0,1094402576.0,1
Hyperion Rise 2025,Standalone,F. Nguyen,8/11/2017,USDPK1700118,3147,24.6,253490559.0,78414.0,9539906.0,20.0,157050046.0,2249067.0,4715901.0,389010308.0,4610799658.0,1
Electric Mirage 2025,Standalone,W. Stone,8/19/2022,JPPO02202918,1045,46.9,239149370.0,46984.0,6134615.0,67.0,281173184.0,3281196.0,1132387.0,226568824.0,2285171989.0,0
Stone Butterfly 2025,Legacy Cycle,J. Martinez,4/15/2022,USWB12200942,2867,26.1,346862697.0,72540.0,23493477.0,67.0,28725574.0,481537.0,60398.0,29004515.0,186623555.0,1
Parallel Lines 2025,Open Sky,R. Silva,2/12/2016,USSM11600557,1897,33.3,884825594.0,165579.0,32192169.0,72.0,838504706.0,3635933.0,14065.0,3965043.0,39734161.0,1
Digital Saints 2025,Final Chapter,Z. Ali,5/13/2022,GBARL2201151,891,51.2,121214716.0,37436.0,6111674.0,56.0,12801028.0,183570.0,4762920.0,1378075519.0,14693507776.0,0
Aurora Debt 2025,Origin Arc,T. Kim,4/18/2024,USUG12401043,3863,21.7,83518075.0,2267.0,5904252.0,,3279453.0,42516.0,,116300.0,981800.0,0
Parallel Lines 2025,New Dawn,R. Silva,11/20/2015,GBBKS1500217,2305,29.8,1284096603.0,117365.0,41710598.0,71.0,1021758621.0,6306795.0,51713.0,51633844.0,348333229.0,0
Red Meridian 2025,Universe Zero,B. Carter,4/22/2015,QM4ZV1500057,4327,20.2,493444344.0,48491.0,27331765.0,76.0,110108631.0,979538.0,669052.0,189101077.0,1951015670.0,0
Final Orbit 2025,Prime Story,G. Murphy,10/27/2021,USUM72120989,2728,26.9,313209345.0,57092.0,6389142.0,65.0,,,33762.0,17669829.0,145431218.0,0
Binary Sunset 2025,Open Sky,Z. Ali,7/31/2015,GBUM71504503,4246,20.5,624262344.0,152117.0,23361260.0,68.0,139990813.0,953527.0,30003.0,5605679.0,61873397.0,0
Neon Horizon 2025,Origin Arc,G. Murphy,4/4/2016,USCM51600028,518,67.9,3192204066.0,379853.0,131832723.0,82.0,456806913.0,5068762.0,2381341.0,51227212.0,388544079.0,0
Arctic Pulse 2025,Universe Zero,I. Hassan,4/12/2024,GBCAD2000628,974,48.9,562814594.0,17.0,25810.0,,,,,,,0
Golden Ratio 2025,Standalone,S. Patel,1/7/2021,USWB12004547,622,61.0,571532926.0,95775.0,30817811.0,66.0,480128955.0,4921945.0,2150682.0,255722462.0,2362426981.0,1
Broken Compass 2025,Origin Arc,J. Martinez,10/13/2023,QMFME2364190,2544,28.1,101706440.0,22195.0,4712903.0,,37327301.0,496072.0,608.0,1421099.0,11568535.0,1
Silver Transit 2025,Open Sky,J. Martinez,3/16/2023,USE7D2300007,84,166.5,1215336974.0,129463.0,39814172.0,74.0,701880622.0,3831236.0,5416.0,550073.0,15373104.0,0
Quantum Rain 2025,Origin Arc,G. Murphy,7/21/2023,USA2P2330072,3425,23.4,165916276.0,17423.0,3301778.0,70.0,52705822.0,887461.0,43015.0,13217486.0,92644726.0,0
Velvet Storm 2025,Dark Matter,J. Martinez,8/31/2018,USSM11914456,815,53.7,634493511.0,89559.0,32092279.0,66.0,325005278.0,4709406.0,11714753.0,557393131.0,6459413096.0,0
City of Glass 2025,Legacy Cycle,Z. Ali,5/14/2021,USUG12101253,1009,47.8,2167768056.0,12805.0,3065794.0,54.0,,,,,,0
Aurora Debt 2025,Final Chapter,Q. Jensen,6/9/2024,CA5KR2466583,3870,21.7,24071511.0,2.0,2190.0,1.0,,,,,,0
Northern Code 2025,Prime Story,C. Wright,8/10/2023,USUG12305253,128,136.2,438796949.0,23959.0,34805394.0,78.0,509727241.0,2202866.0,1223804.0,46080266.0,782582119.0,0
Burning Atlas 2025,Universe Zero,H. Andersson,3/29/2024,FRX202467703,3090,24.9,49161062.0,3056.0,6115142.0,74.0,20068962.0,94182.0,,,,0
Crimson Archive 2025,Dark Matter,G. Murphy,5/25/2018,USUM71911283,165,117.6,2738293818.0,251033.0,108433327.0,74.0,2372399124.0,26919886.0,5815851.0,140938643.0,1859977153.0,0
Nova Protocol 2025,Prime Story,I. Hassan,8/20/2022,QZN882262975,2974,27.3,1490710634.0,11.0,1849.0,,,,,,,0
Quantum Rain 2025,New Dawn,S. Patel,10/6/2022,IDA832200929,3917,21.6,3479935.0,487.0,24227.0,29.0,45732371.0,409950.0,1802891.0,176753219.0,2877575926.0,0
Jade Frequency 2025,Chronicles Saga,J. Martinez,5/20/2022,GB5KW2103369,3199,24.4,839345554.0,295.0,20447.0,23.0,,,,,,0
Broken Compass 2025,Final Chapter,T. Kim,5/31/2024,KRD442400011,282,91.7,10135326.0,678.0,14542753.0,31.0,29271837.0,586888.0,,,,0
Shadow Circuit 2025,Final Chapter,O. Dubois,12/13/2019,USUM71924087,2661,27.3,396184710.0,62515.0,16214167.0,65.0,656159660.0,2808401.0,712.0,216831.0,1796651.0,0
Feral Harmony 2025,Prime Story,V. Popov,9/16/2022,GBKPL2205058,918,50.5,710784872.0,64517.0,191969474.0,90.0,44322144.0,594352.0,129300.0,118218973.0,1027806256.0,0
Hyperion Rise 2025,Open Sky,O. Dubois,3/1/2024,USSM12400672,1435,38.9,40447209.0,4358.0,14370644.0,,20161600.0,421776.0,,215200.0,4614000.0,0
City of Glass 2025,Prime Story,F. Nguyen,7/22/2022,ITI022200181,3866,21.7,,4.0,271.0,,354682832.0,389042.0,,,,0
Broken Compass 2025,New Dawn,K. Olsen,5/28/2024,KRA402400030,214,104.5,8078265.0,207.0,12311489.0,68.0,44927750.0,931230.0,,,,0
Infinite Margin 2025,Standalone,E. Brooks,10/26/2020,US5TA2000134,2200,30.5,384886220.0,32051.0,9361355.0,65.0,681682229.0,7966863.0,243659.0,94368004.0,666762692.0,0
Glass Reactor 2025,Dark Matter,B. Carter,8/19/2022,SE6XW2261728,3059,25.0,262082601.0,29563.0,9809007.0,67.0,178440164.0,1191857.0,220503.0,78149876.0,663874319.0,0
Violet Engine 2025,Universe Zero,A. Volkov,9/3/2021,USUG12104408,4267,20.4,219008713.0,75763.0,15186307.0,62.0,45087615.0,436734.0,18678.0,7831496.0,99452041.0,1
Kinetic Prayer 2025,Standalone,M. Chen,6/22/2015,USUM71508741,4342,20.2,701552110.0,49025.0,16106848.0,60.0,581362473.0,4012591.0,91650.0,19790131.0,155603416.0,0
Infinite Margin 2025,Prime Story,C. Wright,6/1/2023,USWL12300725,336,83.3,373898429.0,53671.0,24287193.0,72.0,314467618.0,1775081.0,782114.0,148537760.0,1715842070.0,0
Red Meridian 2025,Legacy Cycle,M. Chen,1/1/2013,USUM71312049,3409,23.5,339514083.0,62118.0,14714742.0,63.0,1077541932.0,5697309.0,791577.0,18838361.0,164169789.0,1
Violet Engine 2025,Universe Zero,O. Dubois,5/15/2024,QZ9QQ2400324,1032,47.4,38139811.0,1763.0,29137587.0,79.0,19437867.0,412418.0,,,,0
Stone Butterfly 2025,Standalone,K. Olsen,6/19/2020,QZLQR2052977,1721,35.2,81182241.0,2.0,18.0,,1138411241.0,9088368.0,897400.0,31231758.0,408728922.0,0
Ocean of Stars 2025,Universe Zero,M. Chen,1/1/2012,USNPD1200128,3400,23.5,508914869.0,86239.0,25204530.0,70.0,1529347092.0,6057759.0,55811.0,8937199.0,73318392.0,0
Midnight Cartel 2025,Dark Matter,Z. Ali,6/6/2024,USEP42414005,3879,21.7,4094651.0,471.0,11007124.0,65.0,,,,,,1
Ocean of Stars 2025,Legacy Cycle,N. Fischer,2/4/2022,USA2P2201279,3067,25.0,142809304.0,56014.0,16171357.0,64.0,47750136.0,294089.0,7643.0,897890.0,16804128.0,0
Red Meridian 2025,Prime Story,R. Silva,2/4/2021,QM4TW2136314,1130,44.7,642558596.0,106151.0,40485324.0,64.0,357508658.0,2089382.0,1884605.0,309769907.0,2853555921.0,0
Echo Chamber 2025,Prime Story,T. Kim,4/16/2019,USATO1900023,4014,21.3,215492373.0,91317.0,9796420.0,67.0,291742629.0,2585653.0,5685.0,2212496.0,64559724.0,0
Iron Garden 2025,Origin Arc,Z. Ali,4/10/2023,JPU902300267,4429,19.8,98476020.0,15170.0,5083474.0,65.0,103175548.0,656387.0,,,,0
Iron Garden 2025,Final Chapter,T. Kim,8/28/2023,QMDA62341721,3098,24.8,170061927.0,25409.0,6402061.0,,16584925.0,164836.0,17300.0,5289362.0,38178869.0,0
Stone Butterfly 2025,Origin Arc,A. Volkov,4/26/2023,NGA3B2314006,1387,39.8,111124873.0,35929.0,7199181.0,65.0,103077029.0,789321.0,266204.0,24751762.0,291086000.0,1
Red Meridian 2025,Final Chapter,V. Popov,5/22/2019,USUM71910037,4531,19.6,265520736.0,102073.0,10291092.0,61.0,267792071.0,2624568.0,21717.0,6016370.0,46409820.0,1
Northern Code 2025,Universe Zero,G. Murphy,2/16/2024,USAT22314248,1854,33.7,99946842.0,9128.0,36536793.0,78.0,4417747.0,54887.0,,309855.0,2306041.0,0
Ember Valley 2025,Prime Story,N. Fischer,2/8/2024,USUM72400409,864,52.2,89513100.0,8049.0,60410593.0,75.0,38613955.0,433335.0,,14000.0,52800.0,1
White Noise 2025,Origin Arc,K. Olsen,2/29/2020,QM4TX2030965,1331,40.7,868744690.0,116275.0,31273843.0,70.0,491413241.0,3414196.0,1386728.0,112367323.0,989597627.0,1
Kinetic Prayer 2025,Universe Zero,W. Stone,2/12/2020,QMRSZ2000128,1550,37.3,426425213.0,79159.0,7658013.0,56.0,140168452.0,1822530.0,264545.0,41846519.0,344434215.0,0
Lunar Cartography 2025,Standalone,P. Singh,1/1/2012,USUM71211793,1063,46.5,1419912461.0,180128.0,62951327.0,70.0,2336257288.0,11532780.0,12421.0,899775.0,6890158.0,0
Paper Kingdom 2025,Universe Zero,E. Brooks,8/13/2021,USAT22103652,206,106.2,1128273165.0,193857.0,61311826.0,70.0,499895662.0,6801671.0,2167302.0,1127247971.0,12414681151.0,1
Crimson Archive 2025,Dark Matter,R. Silva,8/6/2021,USUM72113370,4467,19.7,176048317.0,70149.0,13900314.0,54.0,27753856.0,516329.0,118.0,38948.0,571049.0,1
Ocean of Stars 2025,New Dawn,P. Singh,11/19/2020,INS402000018,1889,33.4,76630812.0,8933.0,1073356.0,51.0,964253382.0,9620300.0,199165.0,7327817.0,99450429.0,0
Deep Current 2025,New Dawn,H. Andersson,3/27/2020,GBAHT2000834,3532,22.9,381166294.0,50838.0,9475236.0,57.0,168485708.0,1688852.0,1500542.0,51527633.0,728998950.0,0
Iron Garden 2025,Prime Story,L. Nakamura,1/17/2024,ES64E2455101,626,64.9,846435891.0,1.0,42.0,,,,,,,0
Electric Mirage 2025,New Dawn,Q. Jensen,4/14/2017,USUM71703086,4380,20.0,669703929.0,101138.0,18743066.0,73.0,234757944.0,2316992.0,40.0,10010.0,73180.0,1
Last Signal 2025,Origin Arc,N. Fischer,6/16/2017,GBARL1700772,2626,27.5,1120187276.0,153725.0,45935052.0,70.0,80920611.0,707090.0,1758196.0,369847461.0,2745676769.0,1
Obsidian Heart 2025,Universe Zero,G. Murphy,4/12/2024,USUS12400227,345,82.5,29458027.0,2602.0,6588032.0,78.0,8529869.0,225779.0,439200.0,8820761.0,87680200.0,0
Echo Chamber 2025,Origin Arc,T. Kim,3/24/2023,US6XF2200436,112,144.5,518988585.0,73116.0,58391498.0,80.0,107703759.0,768813.0,354036.0,74258021.0,924204888.0,0
Neon Horizon 2025,Open Sky,K. Olsen,5/17/2021,KRA302100169,2715,27.0,245384123.0,26925.0,9940497.0,68.0,514192282.0,6129641.0,94211.0,98935007.0,693149332.0,0
Thunder Archive 2025,Universe Zero,D. Rossi,6/16/2023,GBARL2300301,2314,29.8,57151.0,92.0,28566.0,14.0,57477.0,1150.0,,,,0
City of Glass 2025,Open Sky,M. Chen,11/2/2018,USUG11802484,2416,29.0,917916061.0,204396.0,35887216.0,75.0,182161713.0,2330786.0,41674.0,56229098.0,405647527.0,1
Golden Ratio 2025,Standalone,A. Volkov,12/6/2019,GBMYF1900115,1615,36.5,789418331.0,170553.0,31361482.0,78.0,100552408.0,2069625.0,631299.0,191909759.0,1315165820.0,0
Northern Code 2025,Dark Matter,P. Singh,2/28/2020,USUM71917357,4524,19.6,377746254.0,41379.0,13698064.0,62.0,192582605.0,2080748.0,42881.0,11641151.0,102362534.0,0
Arctic Pulse 2025,Final Chapter,J. Martinez,3/29/2024,DEE862400427,111,144.6,168145583.0,27654.0,159737263.0,85.0,35008949.0,717214.0,,,,0
Quantum Rain 2025,Dark Matter,L. Nakamura,1/1/2011,USCN11100078,4530,19.6,464203349.0,69767.0,12116553.0,70.0,192327944.0,1072108.0,105583.0,24892738.0,136935165.0,0
Golden Ratio 2025,Open Sky,Y. Tanaka,4/28/2021,FR9W12110749,2539,28.1,304069347.0,89224.0,17836102.0,63.0,87407927.0,580798.0,20117.0,6207518.0,94926621.0,0
Quantum Rain 2025,Universe Zero,S. Patel,6/9/2023,DEEC33501048,4016,21.3,34601626.0,34272.0,14914861.0,65.0,,,623.0,60724.0,869444.0,0
Arctic Pulse 2025,New Dawn,H. Andersson,1/24/2023,QM4TW2315684,522,67.4,668103212.0,52040.0,23580184.0,69.0,417352534.0,2399654.0,,63.0,1213.0,1
