IsTestSet	OBJECT	SAMPLE	IsHit	spotify_popularity	Artist	Track	Album_Name	Release_Date	ISRC	All_Time_Rank	Track_Score	Spotify_Streams	Spotify_Playlist_Count	Spotify_Playlist_Reach	YouTube_Views	YouTube_Likes	TikTok_Posts	TikTok_Likes	TikTok_Views	YouTube_Playlist_Reach	Apple_Music_Playlist_Count	AirPlay_Spins	SiriusXM_Spins	Deezer_Playlist_Count	Deezer_Playlist_Reach	Amazon_Playlist_Count	Pandora_Streams	Pandora_Track_Stations	Soundcloud_Streams	Shazam_Counts	TIDAL_Popularity	Explicit_Track	region	market_size	q_popularity	q_streams	q_track_score
True	obj43	valid	0	56	G. Murphy	Electric Mirage 2025	Chronicles Saga	13.03.2025	MV202500073	2834	104,2	2,261,005	10,833	34,972,689	1,453,540	63,297	681,251	474,585	1,591,385	19,097,167	198	386,777	2962	81	9,925,858	98	17,790,559	94,114	12,955,438	3,398,474	66	1	Europe	medium	1	1	4
True	obj44	valid	0	66	F. Nguyen	Blue Static 2025	Prime Story	02.02.2025	MV202500075	631	32,8	1,955,742	72,288	75,538,341	343,048	13,322	991,655	176,073	515,308	9,157,232	67	3,383	39569	252	3,798,899	172	22,011,146	43,061	24,706,057	3,255,184	59	0	Asia-Pacific	large	2	0	0
True	obj45	valid	0	48	O. Dubois	Quantum Rain 2025	Legacy Cycle	22.12.2025	MV202500076	3081	33,7	10,213,246	56,131	62,871,463	5,358,653	131,826	1,864,141	2,968,493	5,222,885	19,945,298	89	383,808	2691	218	9,429,749	41	39,884,276	83,128	2,074,760	4,238,939	79	0	Latin America	large	1	3	0
True	obj46	valid	0	49	Y. Tanaka	White Noise 2025	New Dawn	28.10.2025	MV202500080	1414	116,4	589,911	162,766	56,482,008	80,035	1,752	1,229,007	66,114	95,026	2,678,955	58	152,690	18304	208	5,108,248	83	6,893,364	38,370	5,572,610	3,177,508	69	0	Asia-Pacific	medium	1	0	4
True	obj47	valid	0	33	G. Murphy	City of Glass 2025	Dark Matter	06.09.2025	MV202500081	4055	62,4	5,268,540	81,885	39,343,153	802,930	30,837	887,759	1,298,234	2,165,856	11,307,955	397	110,264	3269	67	2,886,703	156	28,282,523	77,254	14,859,400	2,554,029	57	0	Europe	medium	0	2	2
True	obj48	valid	0	73	T. Kim	Northern Code 2025 4	New Dawn	07.05.2025	MV202500082	2856	61,3	7,468,554	172,453	6,967,770	2,041,019	91,053	234,860	2,239,077	7,776,961	4,197,563	368	344,566	86104	183	4,281,670	123	39,242,465	81,352	24,163,214	2,850,371	53	0	Americas	small	3	3	2
True	obj49	valid	0	90	Q. Jensen	Electric Mirage 2025 3	Universe Zero	31.01.2025	MV202500083	1088	69	2,156,804	50,010	56,914,473	1,713,288	73,909	1,522,971	563,883	1,744,347	9,789,174	288	134,358	41422	135	6,336,277	176	4,654,739	51,561	8,346,770	4,681,680	36	0	Americas	medium	4	0	2
True	obj50	valid	0	70	F. Nguyen	Desert Oracle 2025	Legacy Cycle	01.10.2025	MV202500084	2200	63,1	37,337,554	64,640	22,694,610	13,004,180	414,734	261,275	10,856,165	38,938,710	15,766,073	447	381,127	4594	187	8,367,021	3	46,471,643	15,798	13,695,544	4,959,191	42	0	Asia-Pacific	large	3	4	2
True	obj51	valid	0	83	W. Stone	Deep Current	Prime Story	29.11.2025	MV202500085	1919	24,8	274,462	85,903	7,305,022	47,795	659	426,921	34,291	48,632	11,873,589	259	222,533	806	103	1,205,937	172	34,701,550	47,770	6,868,406	446,655	80	1	Americas	small	4	0	0
True	obj52	valid	0	39	D. Rossi	Broken Compass 2025	Universe Zero	05.02.2025	MV202500086	2877	100,4	3,772,876	144,514	50,250,122	1,689,800	27,129	823,478	47,001	146,755	17,199,250	43	50,232	75244	176	3,840,319	192	15,725,183	13,983	8,309,029	421,243	55	0	Latin America	medium	0	1	4
True	obj53	valid	0	67	B. Carter	Desert Oracle 2025	Prime Story	07.11.2025	MV202500087	448	104	13,505,297	156,781	63,504,304	5,836,205	114,235	771,832	3,064,009	5,745,105	12,761,646	35	444,362	1206	108	3,164,726	77	41,948,665	42,086	16,390,686	863,851	47	0	Asia-Pacific	large	2	4	4
True	obj54	valid	0	45	R. Silva	Final Orbit 2025	Standalone	31.03.2025	MV202500089	4067	78,9	1,354,884	190,607	41,845,198	189,117	7,814	1,441,558	291,694	486,398	2,538,612	390	134,382	88641	231	293,562	161	13,599,029	6,387	21,369,697	2,883,258	7	0	Latin America	large	1	0	3
True	obj55	valid	0	56	A. Volkov	Crimson Archive 2025	Dark Matter	12.12.2025	MV202500090	361	53,6	3,180,333	171,751	992,922	1,883,023	22,293	728,016	242,459	915,678	3,579,218	480	17,681	80311	214	6,557,032	44	12,413,159	91,585	9,598,054	4,129,984	57	1	Americas	large	1	1	1
True	obj56	valid	0	72	L. Nakamura	Frozen Ledger	Legacy Cycle	04.03.2025	MV202500094	1624	41,2	3,877,287	164,752	29,785,457	228,634	8,050	1,289,405	972,454	2,752,537	5,176,413	406	10,900	6447	270	4,434,313	25	45,253,898	82,935	9,946,496	213,481	46	1	Americas	small	3	1	1
True	obj57	valid	0	40	M. Chen	Electric Mirage 2025	Universe Zero	06.04.2025	MV202500095	2014	18,1	11,779,920	129,490	39,916,339	3,018,443	136,769	958,113	1,641,453	2,372,917	7,660,305	209	321,326	79719	74	9,940,872	108	976,499	38,249	21,401,120	2,398,422	78	0	Asia-Pacific	large	0	3	0
True	obj58	valid	0	55	A. Volkov	Lunar Cartography 2025	Legacy Cycle	20.01.2025	MV202500097	4313	34,8	37,332,018	95,649	26,545,402	4,393,718	151,870	1,612,910	2,891,767	6,229,228	3,549,197	401	434,108	5955	44	7,046,963	28	5,546,029	52,629	10,946,695	362,658	70	0	Americas	large	1	4	0
True	obj59	valid	0	34	Q. Jensen	Hollow Crown 2025	Dark Matter	07.09.2025	MV202500098	2924	117,5	6,883,688	44,725	47,120,122	3,695,750	62,879	613,715	416,592	1,303,014	2,546,967	364	474,394	94869	117	9,942,831	193	1,619,137	60,238	27,631,146	4,837,658	22	0	Americas	medium	0	2	4
True	obj60	valid	0	93	Q. Jensen	Parallel Lines 2025	Legacy Cycle	21.06.2025	MV202500099	556	32,6	9,895,448	70,161	62,963,730	3,809,474	147,870	96,390	860,029	2,087,304	8,393,064	83	207,009	88177	105	3,753,475	165	39,436,499	57,805	22,747,306	1,127,913	45	0	Americas	medium	4	3	0
True	obj61	valid	0	35	Q. Jensen	Ghost Frequency 2025	New Dawn	17.02.2025	MV202500100	254	108,2	3,257,594	86,321	52,294,277	988,559	33,900	868,457	963,368	1,300,504	6,621,891	487	204,639	55411	277	5,401,254	132	14,870,032	9,591	11,787,066	2,748,313	49	1	Americas	medium	0	1	4
True	obj62	valid	0	48	F. Nguyen	Northern Code	Final Chapter	11.02.2025	MV202500101	4007	25,2	27,517,046	178,986	21,207,701	11,149,301	397,747	775,115	1,196,925	2,679,744	7,628,903	93	22,308	43974	79	8,370,787	112	7,556,533	69,647	2,901,078	3,340,705	80	0	Asia-Pacific	large	1	4	0
True	obj63	valid	0	59	P. Singh	Winter Echo 2025	Prime Story	20.12.2025	MV202500104	166	87,8	3,285,331	67,639	63,494,228	749,661	16,820	1,685,708	743,363	2,678,379	13,697,040	486	113,978	30048	223	7,740,309	64	36,439,970	60,497	2,678,605	2,208,582	91	0	Latin America	small	2	1	3
True	obj64	valid	0	47	B. Carter	Binary Sunset 2025 4	Dark Matter	06.12.2025	MV202500107	4865	86,1	3,679,615	121,849	23,885,089	2,851,201	40,841	127,767	932,487	3,699,558	12,811,894	430	130,573	71109	267	2,987,911	29	38,273,719	89,968	24,162,894	4,011,818	60	0	Asia-Pacific	large	1	1	3
True	obj65	valid	0	63	O. Dubois	Crimson Archive 2025	Legacy Cycle	19.01.2025	MV202500108	1822	119,7	18,325,887	137,294	51,068,704	8,929,614	259,221	1,881,341	5,469,884	12,054,486	6,003,896	84	328,807	55824	88	4,707,808	148	36,259,331	55,903	27,378,742	4,734,616	89	0	Latin America	large	2	4	4
True	obj66	valid	0	83	V. Popov	Golden Ratio 2025	Open Sky	26.08.2025	MV202500109	584	59,1	2,744,636	94,496	15,571,558	1,889,436	27,949	1,361,427	401,967	1,078,697	8,262,145	435	75,389	99234	102	9,871,915	178	49,332,462	14,322	25,871,818	901,783	8	0	Latin America	large	4	1	1
True	obj67	valid	0	79	O. Dubois	Echo Chamber 2025	Universe Zero	26.09.2025	MV202500111	4016	46,3	6,588,786	71,914	15,082,198	1,998,881	95,793	1,836,418	1,762,582	4,105,928	4,568,365	363	65,602	73407	176	1,689,847	73	32,527,019	3,736	26,296,324	1,278,945	53	1	Latin America	large	3	2	1
True	obj68	valid	0	34	H. Andersson	Binary Sunset	Final Chapter	10.07.2025	MV202500114	3740	108,9	779,047	54,439	30,863,382	515,123	22,679	1,599,818	49,104	148,135	15,938,191	56	348,084	5864	282	1,593,953	83	29,537,515	80,226	20,351,794	906,302	37	0	Asia-Pacific	large	0	0	4
True	obj69	valid	0	34	V. Popov	Obsidian Heart	New Dawn	26.07.2025	MV202500116	3671	44,2	10,836,157	17,695	39,881,507	7,182,502	162,629	1,961,343	356,085	1,170,333	355,382	201	17,915	54909	247	7,917,832	192	31,876,906	89,011	16,869,977	3,272,979	45	0	Latin America	large	0	3	1
True	obj70	valid	0	74	O. Dubois	Glass Reactor 2025	Standalone	28.02.2025	MV202500117	2910	78	14,255,407	165,993	77,155,050	1,754,523	38,036	1,044,017	2,866,533	9,075,067	915,562	82	70,224	71685	216	1,069,615	122	9,377,170	93,021	11,786,894	2,285,230	78	0	Latin America	large	3	4	2
True	obj71	valid	0	91	O. Dubois	Burning Atlas 2025 4	Dark Matter	25.12.2025	MV202500119	4535	116,9	10,655,715	126,553	16,079,117	7,616,999	266,341	581,229	1,689,628	3,661,123	13,447,474	490	325,043	95832	151	6,943,119	64	5,770,262	35,223	14,411,097	2,853,190	66	0	Latin America	large	4	3	4
True	obj72	valid	1	30	N. Fischer	Neon Horizon 2025 2	Universe Zero	28.01.2025	MV202500120	2053	104	102,875,842	29,371	4,972,005	56,858,514	2,352,480	408,081	6,992,645	18,987,002	7,173,648	226	308,054	67552	168	2,243,073	129	19,444,333	51,092	23,905,009	3,480,642	69	1	Europe	small	0	4	4
True	obj73	valid	0	75	J. Martinez	Ember Valley	New Dawn	14.04.2025	MV202500121	3013	86,9	3,674,715	151,046	43,733,744	1,894,026	64,653	1,552,315	868,953	3,388,926	5,883,554	88	341,329	18697	52	5,138,468	75	21,425,390	55,659	3,901,995	2,919,930	25	0	Europe	large	3	1	3
True	obj74	valid	0	80	A. Volkov	Feral Harmony 2025	Universe Zero	11.08.2025	MV202500124	3762	36,6	964,626	143,401	3,040,526	515,998	6,671	356,066	272,533	519,268	1,408,841	410	455,493	40763	135	4,044,480	63	19,475,093	11,830	176,967	3,601,428	6	0	Americas	large	3	0	0
True	obj75	valid	0	31	F. Nguyen	Violet Engine	Standalone	13.08.2025	MV202500125	1281	87	3,140,437	106,740	10,919,153	1,055,375	27,059	1,594,989	780,133	2,128,225	19,202,685	72	338,644	91416	238	7,293,245	74	47,473,255	55,352	16,652,092	616,175	0	0	Asia-Pacific	large	0	1	3
True	obj76	valid	0	32	J. Martinez	Hollow Crown 2025	Universe Zero	27.11.2025	MV202500126	2071	93,6	20,222,276	38,945	14,516,825	13,924,940	584,658	1,704,517	1,037,645	3,718,800	18,647,397	497	230,632	54966	87	673,627	19	36,279,462	48,719	9,925,527	641,075	65	1	Europe	large	0	4	3
True	obj77	valid	0	33	C. Wright	Binary Sunset 2025	Origin Arc	20.03.2025	MV202500127	1382	62,3	51,548,661	1,065	19,701,549	24,442,519	461,011	1,479,658	5,964,339	14,440,543	16,802,201	67	366,486	87788	138	3,587,416	61	27,583,591	17,577	18,198,829	4,208,964	85	1	Europe	small	0	4	2
True	obj78	valid	0	84	V. Popov	Last Signal 2025	Final Chapter	20.11.2025	MV202500128	1743	23	5,950,064	181,270	44,132,003	436,708	13,860	1,997,456	1,063,563	2,682,190	15,503,944	182	111,653	77214	219	2,909,991	92	25,520,599	39,678	15,065,018	3,313,392	84	0	Latin America	large	4	2	0
True	obj79	valid	0	51	M. Chen	Iron Garden 2025	Origin Arc	16.03.2025	MV202500129	1793	61,9	6,975,951	152,318	18,547,675	4,199,102	86,393	468,113	1,047,899	3,219,187	10,357,704	395	194,046	91790	264	399,046	129	5,161,250	96,844	19,007,009	1,367,476	74	0	Asia-Pacific	large	1	2	2
True	obj80	valid	0	39	F. Nguyen	Last Signal 2025	Origin Arc	25.04.2025	MV202500130	3950	76,7	6,665,133	177,445	537,748	2,914,521	131,973	879,853	748,763	1,380,699	10,290,825	140	75,120	15735	180	8,169,550	132	20,730,684	33,022	3,400,160	3,376,147	47	0	Asia-Pacific	large	0	2	2
True	obj81	valid	0	66	G. Murphy	Violet Engine 2025	Dark Matter	17.07.2025	MV202500132	3439	111,8	5,523,369	165,320	48,444,826	823,865	14,085	1,803,226	81,763	235,434	17,555,052	265	376,191	9318	197	9,019,847	107	60,010	93,773	20,356,780	2,157,484	42	0	Europe	medium	2	2	4
True	obj82	valid	0	60	F. Nguyen	Quantum Rain 2025	Dark Matter	13.10.2025	MV202500134	2079	119,1	6,302,825	197,702	46,216,315	2,595,823	106,345	796,319	739,710	1,173,617	17,276,610	59	114,885	78310	284	1,002,786	101	39,304,056	80,085	18,420,761	3,422,822	5	0	Asia-Pacific	large	2	2	4
